indx generation Control ExtinctionMost ExtinctionMore ExtinctionSome
56 5600.0 0.033114105 0.07767532499999999 0.065481725 0.049962419999999994
57 5700.0 0.033128005 0.07809883499999999 0.06544798 0.0499309
58 5800.0 0.03314644 0.07848374 0.06540696000000001 0.049893074999999995
59 5900.0 0.033159485 0.07889943 0.06536621000000001 0.04985731
60 6000.0 0.033176214999999995 0.07974629999999999 0.06533296499999999 0.04714698
61 6100.0 0.033195829999999996 0.08225670999999998 0.07064297500000001 0.05352835500000001
62 6200.0 0.03320579 0.08267326 0.07083821500000001 0.053803765
63 6300.0 0.03322472 0.08320656500000002 0.07159002 0.05455418999999999
64 6400.0 0.03324171000000001 0.083590275 0.07210352499999999 0.055351810000000015
65 6500.0 0.03326039000000001 0.08428508000000001 0.07228781000000001 0.055865155
66 6600.0 0.033280955 0.08605983 0.07226420000000001 0.055982034999999986
67 6700.0 0.03329910000000001 0.08616472 0.072219595 0.05595217000000001
68 6800.0 0.033324695 0.08657190000000001 0.07218313500000002 0.055912360000000015
69 6900.0 0.033344904999999994 0.08691776999999999 0.072143945 0.055867734999999995
70 7000.0 0.033363865 0.08674146000000002 0.07295044499999999 0.05582964
71 7100.0 0.033381345 0.08912255 0.07757789000000001 0.05579072500000002
72 7200.0 0.033408894999999994 0.08941288000000001 0.07798307499999999 0.055752904999999985
73 7300.0 0.033432624999999994 0.08961905499999999 0.07840995 0.055718585
74 7400.0 0.03345398000000001 0.08974789999999999 0.07885507 0.05567493
75 7500.0 0.03347772500000001 0.08948303500000002 0.07895737499999998 0.05563745499999999
76 7600.0 0.03350142500000001 0.091453635 0.078954065 0.055594964999999996
77 7700.0 0.033522755 0.09177132 0.07890979499999999 0.055555030000000005
78 7800.0 0.033546484999999994 0.092327035 0.07886675 0.055515064999999995
79 7900.0 0.033568579999999994 0.092648335 0.07882974500000002 0.05547833500000001
80 8000.0 0.033592205 0.092358525 0.07956147499999999 0.05313249
81 8100.0 0.033619764999999996 0.09439597 0.08379421 0.06027612499999999
82 8200.0 0.033649895 0.09440496 0.08421932000000001 0.06063945499999999
83 8300.0 0.033672525 0.09487582999999998 0.08467777 0.06139004499999999
84 8400.0 0.033697955 0.09514513 0.08511454500000001 0.06208171
85 8500.0 0.033726935 0.09553498499999999 0.08516960000000003 0.0625005
86 8600.0 0.03375458 0.09805385999999999 0.08516107499999999 0.06255582500000001
87 8700.0 0.033780595000000004 0.09800438 0.08511865000000002 0.062517825
88 8800.0 0.033806785 0.09841794499999999 0.0850744 0.062476219999999985
89 8900.0 0.03383606 0.09865719999999999 0.085023205 0.062440450000000015
90 9000.0 0.03386274 0.0979514 0.08500669500000001 0.06239658
